ERROR:root:Division by zero error: division by zero
ERROR:root:This is an error message
CRITICAL:root:This is a critical message
ERROR:root:This is an error message.
DEBUG:MyLogger:This is log message number 0
DEBUG:MyLogger:This is log message number 1
DEBUG:MyLogger:This is log message number 2
DEBUG:MyLogger:This is log message number 3
DEBUG:MyLogger:This is log message number 4
DEBUG:MyLogger:This is log message number 5
DEBUG:MyLogger:This is log message number 6
DEBUG:MyLogger:This is log message number 7
DEBUG:MyLogger:This is log message number 8
DEBUG:MyLogger:This is log message number 9
DEBUG:MyLogger:This is log message number 10
DEBUG:MyLogger:This is log message number 11
DEBUG:MyLogger:This is log message number 12
DEBUG:MyLogger:This is log message number 13
DEBUG:MyLogger:This is log message number 14
DEBUG:MyLogger:This is log message number 15
DEBUG:MyLogger:This is log message number 16
DEBUG:MyLogger:This is log message number 17
DEBUG:MyLogger:This is log message number 18
DEBUG:MyLogger:This is log message number 19
DEBUG:MyLogger:This is log message number 20
DEBUG:MyLogger:This is log message number 21
DEBUG:MyLogger:This is log message number 22
DEBUG:MyLogger:This is log message number 23
DEBUG:MyLogger:This is log message number 24
DEBUG:MyLogger:This is log message number 25
DEBUG:MyLogger:This is log message number 26
DEBUG:MyLogger:This is log message number 27
DEBUG:MyLogger:This is log message number 28
DEBUG:MyLogger:This is log message number 29
DEBUG:MyLogger:This is log message number 30
DEBUG:MyLogger:This is log message number 31
DEBUG:MyLogger:This is log message number 32
DEBUG:MyLogger:This is log message number 33
DEBUG:MyLogger:This is log message number 34
DEBUG:MyLogger:This is log message number 35
DEBUG:MyLogger:This is log message number 36
DEBUG:MyLogger:This is log message number 37
DEBUG:MyLogger:This is log message number 38
DEBUG:MyLogger:This is log message number 39
DEBUG:MyLogger:This is log message number 40
DEBUG:MyLogger:This is log message number 41
DEBUG:MyLogger:This is log message number 42
DEBUG:MyLogger:This is log message number 43
DEBUG:MyLogger:This is log message number 44
DEBUG:MyLogger:This is log message number 45
DEBUG:MyLogger:This is log message number 46
DEBUG:MyLogger:This is log message number 47
DEBUG:MyLogger:This is log message number 48
DEBUG:MyLogger:This is log message number 49
DEBUG:MyLogger:This is log message number 50
DEBUG:MyLogger:This is log message number 51
DEBUG:MyLogger:This is log message number 52
DEBUG:MyLogger:This is log message number 53
DEBUG:MyLogger:This is log message number 54
DEBUG:MyLogger:This is log message number 55
DEBUG:MyLogger:This is log message number 56
DEBUG:MyLogger:This is log message number 57
DEBUG:MyLogger:This is log message number 58
DEBUG:MyLogger:This is log message number 59
DEBUG:MyLogger:This is log message number 60
DEBUG:MyLogger:This is log message number 61
DEBUG:MyLogger:This is log message number 62
DEBUG:MyLogger:This is log message number 63
DEBUG:MyLogger:This is log message number 64
DEBUG:MyLogger:This is log message number 65
DEBUG:MyLogger:This is log message number 66
DEBUG:MyLogger:This is log message number 67
DEBUG:MyLogger:This is log message number 68
DEBUG:MyLogger:This is log message number 69
DEBUG:MyLogger:This is log message number 70
DEBUG:MyLogger:This is log message number 71
DEBUG:MyLogger:This is log message number 72
DEBUG:MyLogger:This is log message number 73
DEBUG:MyLogger:This is log message number 74
DEBUG:MyLogger:This is log message number 75
DEBUG:MyLogger:This is log message number 76
DEBUG:MyLogger:This is log message number 77
DEBUG:MyLogger:This is log message number 78
DEBUG:MyLogger:This is log message number 79
DEBUG:MyLogger:This is log message number 80
DEBUG:MyLogger:This is log message number 81
DEBUG:MyLogger:This is log message number 82
DEBUG:MyLogger:This is log message number 83
DEBUG:MyLogger:This is log message number 84
DEBUG:MyLogger:This is log message number 85
DEBUG:MyLogger:This is log message number 86
DEBUG:MyLogger:This is log message number 87
DEBUG:MyLogger:This is log message number 88
DEBUG:MyLogger:This is log message number 89
DEBUG:MyLogger:This is log message number 90
DEBUG:MyLogger:This is log message number 91
DEBUG:MyLogger:This is log message number 92
DEBUG:MyLogger:This is log message number 93
DEBUG:MyLogger:This is log message number 94
DEBUG:MyLogger:This is log message number 95
DEBUG:MyLogger:This is log message number 96
DEBUG:MyLogger:This is log message number 97
DEBUG:MyLogger:This is log message number 98
DEBUG:MyLogger:This is log message number 99
DEBUG:MyLogger:This is log message number 100
DEBUG:MyLogger:This is log message number 101
DEBUG:MyLogger:This is log message number 102
DEBUG:MyLogger:This is log message number 103
DEBUG:MyLogger:This is log message number 104
DEBUG:MyLogger:This is log message number 105
DEBUG:MyLogger:This is log message number 106
DEBUG:MyLogger:This is log message number 107
DEBUG:MyLogger:This is log message number 108
DEBUG:MyLogger:This is log message number 109
DEBUG:MyLogger:This is log message number 110
DEBUG:MyLogger:This is log message number 111
DEBUG:MyLogger:This is log message number 112
DEBUG:MyLogger:This is log message number 113
DEBUG:MyLogger:This is log message number 114
DEBUG:MyLogger:This is log message number 115
DEBUG:MyLogger:This is log message number 116
DEBUG:MyLogger:This is log message number 117
DEBUG:MyLogger:This is log message number 118
DEBUG:MyLogger:This is log message number 119
DEBUG:MyLogger:This is log message number 120
DEBUG:MyLogger:This is log message number 121
DEBUG:MyLogger:This is log message number 122
DEBUG:MyLogger:This is log message number 123
DEBUG:MyLogger:This is log message number 124
DEBUG:MyLogger:This is log message number 125
DEBUG:MyLogger:This is log message number 126
DEBUG:MyLogger:This is log message number 127
DEBUG:MyLogger:This is log message number 128
DEBUG:MyLogger:This is log message number 129
DEBUG:MyLogger:This is log message number 130
DEBUG:MyLogger:This is log message number 131
DEBUG:MyLogger:This is log message number 132
DEBUG:MyLogger:This is log message number 133
DEBUG:MyLogger:This is log message number 134
DEBUG:MyLogger:This is log message number 135
DEBUG:MyLogger:This is log message number 136
DEBUG:MyLogger:This is log message number 137
DEBUG:MyLogger:This is log message number 138
DEBUG:MyLogger:This is log message number 139
DEBUG:MyLogger:This is log message number 140
DEBUG:MyLogger:This is log message number 141
DEBUG:MyLogger:This is log message number 142
DEBUG:MyLogger:This is log message number 143
DEBUG:MyLogger:This is log message number 144
DEBUG:MyLogger:This is log message number 145
DEBUG:MyLogger:This is log message number 146
DEBUG:MyLogger:This is log message number 147
DEBUG:MyLogger:This is log message number 148
DEBUG:MyLogger:This is log message number 149
DEBUG:MyLogger:This is log message number 150
DEBUG:MyLogger:This is log message number 151
DEBUG:MyLogger:This is log message number 152
DEBUG:MyLogger:This is log message number 153
DEBUG:MyLogger:This is log message number 154
DEBUG:MyLogger:This is log message number 155
DEBUG:MyLogger:This is log message number 156
DEBUG:MyLogger:This is log message number 157
DEBUG:MyLogger:This is log message number 158
DEBUG:MyLogger:This is log message number 159
DEBUG:MyLogger:This is log message number 160
DEBUG:MyLogger:This is log message number 161
DEBUG:MyLogger:This is log message number 162
DEBUG:MyLogger:This is log message number 163
DEBUG:MyLogger:This is log message number 164
DEBUG:MyLogger:This is log message number 165
DEBUG:MyLogger:This is log message number 166
DEBUG:MyLogger:This is log message number 167
DEBUG:MyLogger:This is log message number 168
DEBUG:MyLogger:This is log message number 169
DEBUG:MyLogger:This is log message number 170
DEBUG:MyLogger:This is log message number 171
DEBUG:MyLogger:This is log message number 172
DEBUG:MyLogger:This is log message number 173
DEBUG:MyLogger:This is log message number 174
DEBUG:MyLogger:This is log message number 175
DEBUG:MyLogger:This is log message number 176
DEBUG:MyLogger:This is log message number 177
DEBUG:MyLogger:This is log message number 178
DEBUG:MyLogger:This is log message number 179
DEBUG:MyLogger:This is log message number 180
DEBUG:MyLogger:This is log message number 181
DEBUG:MyLogger:This is log message number 182
DEBUG:MyLogger:This is log message number 183
DEBUG:MyLogger:This is log message number 184
DEBUG:MyLogger:This is log message number 185
DEBUG:MyLogger:This is log message number 186
DEBUG:MyLogger:This is log message number 187
DEBUG:MyLogger:This is log message number 188
DEBUG:MyLogger:This is log message number 189
DEBUG:MyLogger:This is log message number 190
DEBUG:MyLogger:This is log message number 191
DEBUG:MyLogger:This is log message number 192
DEBUG:MyLogger:This is log message number 193
DEBUG:MyLogger:This is log message number 194
DEBUG:MyLogger:This is log message number 195
DEBUG:MyLogger:This is log message number 196
DEBUG:MyLogger:This is log message number 197
DEBUG:MyLogger:This is log message number 198
DEBUG:MyLogger:This is log message number 199
DEBUG:MyLogger:This is log message number 200
DEBUG:MyLogger:This is log message number 201
DEBUG:MyLogger:This is log message number 202
DEBUG:MyLogger:This is log message number 203
DEBUG:MyLogger:This is log message number 204
DEBUG:MyLogger:This is log message number 205
DEBUG:MyLogger:This is log message number 206
DEBUG:MyLogger:This is log message number 207
DEBUG:MyLogger:This is log message number 208
DEBUG:MyLogger:This is log message number 209
DEBUG:MyLogger:This is log message number 210
DEBUG:MyLogger:This is log message number 211
DEBUG:MyLogger:This is log message number 212
DEBUG:MyLogger:This is log message number 213
DEBUG:MyLogger:This is log message number 214
DEBUG:MyLogger:This is log message number 215
DEBUG:MyLogger:This is log message number 216
DEBUG:MyLogger:This is log message number 217
DEBUG:MyLogger:This is log message number 218
DEBUG:MyLogger:This is log message number 219
DEBUG:MyLogger:This is log message number 220
DEBUG:MyLogger:This is log message number 221
DEBUG:MyLogger:This is log message number 222
DEBUG:MyLogger:This is log message number 223
DEBUG:MyLogger:This is log message number 224
DEBUG:MyLogger:This is log message number 225
DEBUG:MyLogger:This is log message number 226
DEBUG:MyLogger:This is log message number 227
DEBUG:MyLogger:This is log message number 228
DEBUG:MyLogger:This is log message number 229
DEBUG:MyLogger:This is log message number 230
DEBUG:MyLogger:This is log message number 231
DEBUG:MyLogger:This is log message number 232
DEBUG:MyLogger:This is log message number 233
DEBUG:MyLogger:This is log message number 234
DEBUG:MyLogger:This is log message number 235
DEBUG:MyLogger:This is log message number 236
DEBUG:MyLogger:This is log message number 237
DEBUG:MyLogger:This is log message number 238
DEBUG:MyLogger:This is log message number 239
DEBUG:MyLogger:This is log message number 240
DEBUG:MyLogger:This is log message number 241
DEBUG:MyLogger:This is log message number 242
DEBUG:MyLogger:This is log message number 243
DEBUG:MyLogger:This is log message number 244
DEBUG:MyLogger:This is log message number 245
DEBUG:MyLogger:This is log message number 246
DEBUG:MyLogger:This is log message number 247
DEBUG:MyLogger:This is log message number 248
DEBUG:MyLogger:This is log message number 249
DEBUG:MyLogger:This is log message number 250
